"data__propertyLookup__address__slug","data__propertyLookup__address__fullAddress","data__propertyLookup__address__hcAddressId","data__propertyLookup__address__streetAddress","data__propertyLookup__address__unit","data__propertyLookup__address__city","data__propertyLookup__address__state","data__propertyLookup__address__zipcode","data__propertyLookup__address__zipcodePlus4","data__propertyLookup__avm__priceUpper","data__propertyLookup__avm__priceLower","data__propertyLookup__avm__fsd","data__propertyLookup__avm__quality","data__propertyLookup__avm__priceMean","data__propertyLookup__livingSpace__bedrooms__count","data__propertyLookup__livingSpace__bathrooms__summaryCount","data__propertyLookup__rentalAvm__priceMean","data__propertyLookup__rentalAvm__priceUpper","data__propertyLookup__rentalAvm__priceLower","data__propertyLookup__rentalAvm__fsd","data__propertyLookup__rentalAvm__quality","data__propertyLookup__rentalYield","data__propertyLookup__latestAssessment__taxSummary__amount","data__propertyLookup__latestAssessment__taxSummary__year"
"60674-Somerton-Hwy-Barnesville-OH-43713","60674 Somerton Hwy Barnesville OH 43713",85066148,"60674 Somerton Hwy","","Barnesville","OH","43713","9436",,,,,,,,,,,,,,,
"60674-Westview-Dr-Cambridge-OH-43725","60674 Westview Dr Cambridge OH 43725",30307550,"60674 Westview Dr","","Cambridge","OH","43725","8633",,,,,,,,,,,,,,,
"60701-Salem-Rd-Salesville-OH-43778","60701 Salem Rd Salesville OH 43778",6627251,"60701 Salem Rd","","Salesville","OH","43778","9569",234358,117188,0.3332992,"LOW",175773,,2.5,1462,1709,1217,0.1682627,"LOW",0.0998,1966.68,2022
"60701-252nd-Ave-Mantorville-MN-55955","60701 252nd Ave Mantorville MN 55955",12153530,"60701 252nd Ave","","Mantorville","MN","55955","7029",472496,394946,0.0894008,"HIGH",433721,4,2,2499,2803,2195,0.1216487,"LOW",0.0691,3928,2022
"60701-Millie-Ln-Eagle-Lake-MN-56024","60701 Millie Ln Eagle Lake MN 56024",9086172,"60701 Millie Ln","","Eagle Lake","MN","56024","4470",599518,463834,0.1276003,"LOW",531676,3,2.5,,,,,,,4888,2023
"60664-Shaw-Rd-Cambridge-OH-43725","60664 Shaw Rd Cambridge OH 43725",37519547,"60664 Shaw Rd","","Cambridge","OH","43725","9427",233637,149281,0.2202978,"LOW",191459,,1,1426,1612,1242,0.1297335,"LOW",0.0894,1403.64,2022
"60664-Csah-3-Litchfield-MN-55355","60664 Csah 3 Litchfield MN 55355",127732638,"60664 Csah 3","","Litchfield","MN","55355","2266",243548,175244,0.1630977,"LOW",209396,,,,,,,,,1742,2023
"60664-223rd-St-Eagle-Lake-MN-56024","60664 223rd St Eagle Lake MN 56024",41584568,"60664 223rd St","","Eagle Lake","MN","56024","4487",562989,416123,0.1499992,"LOW",489556,3,4,,,,,,,4470,2023
"60664-County-Highway-50-Wadena-MN-56482","60664 County Highway 50 Wadena MN 56482",74316263,"60664 County Highway 50","","Wadena","MN","56482","4413",441315,346747,0.1200007,"LOW",394031,,,,,,,,,1712,2023
"60668-Goodyear-Rd-Lore-City-OH-43755","60668 Goodyear Rd Lore City OH 43755",56254931,"60668 Goodyear Rd","","Lore City","OH","43755","9770",324579,250813,0.1282013,"LOW",287696,,3,1825,2077,1573,0.1380822,"LOW",0.0761,2784.68,2022
"60670-Main-St-Jacobsburg-OH-43933","60670 Main St Jacobsburg OH 43933",136496948,"60670 Main St","","Jacobsburg","OH","43933","9603",116076,49262,0.4041055,"LOW",82669,2,1,1053,1208,898,0.1471985,"LOW",0.1529,712.28,2022
"60675-Vocational-Rd-Byesville-OH-43723","60675 Vocational Rd Byesville OH 43723",64734546,"60675 Vocational Rd","","Byesville","OH","43723","9780",335857,221675,0.204799,"LOW",278766,,2.5,1741,1988,1495,0.1415853,"LOW",0.0749,3083,2022
"60675-Osprey-Ave-Swatara-MN-55785","60675 Osprey Ave Swatara MN 55785",127943196,"60675 Osprey Ave","","Swatara","MN","55785","5260",157938,43668,0.5667986,"LOW",100803,4,,,,,,,,578,2022
"60677-255th-St-Litchfield-MN-55355","60677 255th St Litchfield MN 55355",127867236,"60677 255th St","","Litchfield","MN","55355","4547",406909,297147,0.1558995,"LOW",352028,,,,,,,,,3720,2023
"60677-120th-Ave-Claremont-MN-55924","60677 120th Ave Claremont MN 55924",127904915,"60677 120th Ave","","Claremont","MN","55924","4585",692179,481503,0.1795001,"LOW",586841,4,3,2758,3150,2368,0.1417694,"LOW",0.0564,9584,2022
"60677-226th-Ave-Mantorville-MN-55955","60677 226th Ave Mantorville MN 55955",289974320,"60677 226th Ave","","Mantorville","MN","55955","4005",641063,550615,0.0758997,"HIGH",595839,,2,2610,2952,2269,0.1308429,"LOW",0.0526,2304,2022
"60677-227th-Ave-Mantorville-MN-55955","60677 227th Ave Mantorville MN 55955",57467241,"60677 227th Ave","","Mantorville","MN","55955","7066",609960,466282,0.1334997,"LOW",538121,2,2,2536,2908,2164,0.1466877,"LOW",0.0566,5030,2022
"60677-200th-St-Wells-MN-56097","60677 200th St Wells MN 56097",22616676,"60677 200th St","","Wells","MN","56097","6360",317733,185607,0.2624985,"LOW",251670,4,2,,,,,,,1846,2022
"60678-226th-Ave-Mantorville-MN-55955","60678 226th Ave Mantorville MN 55955",289974318,"60678 226th Ave","","Mantorville","MN","55955","4005",584834,483942,0.0943996,"HIGH",534388,,2.5,2388,2691,2085,0.1268844,"LOW",0.0536,4746,2022
"60680-Greenlawn-Rd-Quaker-City-OH-43773","60680 Greenlawn Rd Quaker City OH 43773",77129159,"60680 Greenlawn Rd","","Quaker City","OH","43773","9688",120458,28384,0.6186023,"LOW",74421,,,1090,1482,700,0.3587156,"LOW",0.1758,280.5,2022
"60680-Cherry-Ln-Shadyside-OH-43947","60680 Cherry Ln Shadyside OH 43947",22037706,"60680 Cherry Ln","","Shadyside","OH","43947","9778",303687,244435,0.1081,"LOW",274061,3,3.5,1992,2296,1690,0.1521084,"LOW",0.0872,3671.48,2022
"60680-216th-St-Eagle-Lake-MN-56024","60680 216th St Eagle Lake MN 56024",10525089,"60680 216th St","","Eagle Lake","MN","56024","4408",576923,438607,0.1362008,"LOW",507765,3,2,,,,,,,4162,2023
"60680-230th-St-Madison-Lake-MN-56063","60680 230th St Madison Lake MN 56063",127809891,"60680 230th St","","Madison Lake","MN","56063","4278",509745,401165,0.1191995,"LOW",455455,2,3,,,,,,,4360,2023
